label,text,source,category
1,"Sir, I am connecting you to the Supreme Court judge. You must stay on Skype for the next 5 hours. This is a court-ordered digital custody.",synthetic_scam,digital_arrest
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",original_sms_spam,legitimate
0,Anything lar then Ì_ not going home 4 dinner?,original_sms_spam,legitimate
1,Our face recognition system has confirmed your identity. You are officially under Section 91 CrPC digital arrest. We will transfer your case to local police if you disconnect.,synthetic_scam,digital_arrest
0,Ok Chinese food on its way. When I get fat you're paying for my lipo.,original_sms_spam,legitimate
1,"Your bail amount has been set at Rs 50,000 by the duty magistrate. Pay immediately to avoid overnight custody. Cash or UPI both accepted by our recovery officer.",synthetic_scam,digital_arrest
0,Those ducking chinchillas,original_sms_spam,legitimate
0,Me fine..absolutly fine,original_sms_spam,legitimate
0,"Awesome, I'll see you in a bit",original_sms_spam,legitimate
0,"Yeah, probably earlier than that",original_sms_spam,legitimate
0,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",original_sms_spam,legitimate
1,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,original_sms_spam,sms_spam
0,"Tonight? Yeah, I'd be down for that",original_sms_spam,legitimate
0,No de. But call me after some time. Ill tell you k,original_sms_spam,legitimate
1,"To prove your innocence and avoid arrest, you must transfer Rs 50,000 to our RBI escrow account. This amount will be returned after verification within 24 hours.",synthetic_scam,digital_arrest
1,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,original_sms_spam,sms_spam
1,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,original_sms_spam,sms_spam
0,Really? I crashed out cuddled on my sofa.,original_sms_spam,legitimate
0,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,original_sms_spam,legitimate
1,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,original_sms_spam,sms_spam
0,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDåÕS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\""""",original_sms_spam,legitimate
0,K and you're sure I don't have to have consent forms to do it :V,original_sms_spam,legitimate
0,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,original_sms_spam,legitimate
1,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,original_sms_spam,sms_spam
0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,original_sms_spam,legitimate
0,if you text on your way to cup stop that should work. And that should be BUS,original_sms_spam,legitimate
0,What???? Hello wats talks email address?,original_sms_spam,legitimate
1,"Your FASTag/PAN card has been used in illegal activities across 6 states. Income Tax Department officer will contact you shortly. This is a legal summons. Sir, we have frozen your accounts. To unfreeze them and avoid arrest, you must stay connected with our officer. Do not tell anyone about this call — it is sub-judice.",synthetic_scam,digital_arrest
0,Congratulations! Your loan application has been approved. Disbursement in 2-3 working days.,synthetic_ham,legitimate
0,Oh my God. I'm almost home,original_sms_spam,legitimate
0,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",original_sms_spam,legitimate
0,No problem baby. Is this is a good time to talk? I called and left a message.,original_sms_spam,legitimate
0,Ok... I din get ur msg...,original_sms_spam,legitimate
1,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",original_sms_spam,sms_spam
0,Ok.ok ok..then..whats ur todays plan,original_sms_spam,legitimate
0,Ok no prob... I'll come after lunch then...,original_sms_spam,legitimate
1,"Madam, I understand you are scared but this is the procedure. You must keep your camera on and not speak to anyone. This is for your own protection during the verification. Sir aap ghabraiye mat. Main aapki help karna chahta hoon. Lekin pehle Rs 7,50,000 compliance amount dena hoga RBI account mein. Refund ho jayega 24 ghante mein.",synthetic_scam,digital_arrest
1,"Your bail amount has been set at Rs 2,50,000 by the duty magistrate. Pay immediately to avoid overnight custody. Cash or UPI both accepted by our recovery officer. This is TRAI head office. Your mobile number will be disconnected in 2 hours due to illegal usage. Press 9 to speak to our cyber crime officer immediately.",synthetic_scam,digital_arrest
1,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,original_sms_spam,sms_spam
0,Should I head straight there or what,original_sms_spam,legitimate
0,I can't describe how lucky you are that I'm actually awake by noon,original_sms_spam,legitimate
0,If you have belive me. Come to my home.,original_sms_spam,legitimate
0,"2 celebrate my båÕday, y else?",original_sms_spam,legitimate
1,"Aapka Aadhaar card misuse hua hai. Rs 1,50,000 ki illegal transactions hain. Agar aap cooperate nahi karte toh aapke ghar par police aa jayegi aaj raat.",synthetic_scam,digital_arrest
0,"I'll see, but prolly yeah",original_sms_spam,legitimate
0,Dear are you angry i was busy dear,original_sms_spam,legitimate
0,"Aight, I'll text you when I'm back",original_sms_spam,legitimate
0,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,original_sms_spam,legitimate
0,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,original_sms_spam,legitimate
0,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),original_sms_spam,legitimate
0,on hen night. Going with a swing,original_sms_spam,legitimate
